comment,toxicity_score,threat_score,classification
blocked from editing Wikipedia   ,0.10089093,0.017328756,non-toxic
Please stop If you continue to vandalize Wikipedia as you did to Homosexuality you will be blocked from editing,0.3389984,0.063029334,non-toxic
            Jews are not a race because you can only get it from your mother Your own mention of Ethiopian Jews not testing            as Jews proves it is not as well as the fact that we accept converts,0.4574824,0.023199292,non-toxic
  balance  This page has one sentence about the basic definition of the word and a huge amount about the slangprofane uses Perhaps the former should be extended is there no information about female dogs available beyond their name This is an encyclopaedia not a dictionary     i feel that whoever is looking this definition up is very appropiate and should be deleted from wikipediaIMMEDIATLY this word is used very often and is also a very mean word i belive that is majorly true very much so okay so the good meaning is a female dog  BITCH It also stands for the name Brittany Fellows—Preceding unsigned comment added by   •     etymology  The word bitch is from the Old Norse Bikkjuna meaning female of the dog of unknown origin Grimm derives the Old Norse words from Lapp Pittja But OED notes that the converse is equally possible  The adj Bitchy was first seen in 1925   The verb meaning to complain in 1930  Slang Bitchen good is attested to the 1950s   reclaiming the word bitch   The word bitch is actually only offencive in American and Canadian English In most other English variants bitch maintains its correct definition  female canine People have argued that bitch is different because it is used as an insult  but so is pig dog cow and others These are not considered profane so why is bitch As far as I am concerned there is nothing to reclaim as bitch simply means a female canine  It may be used as a pejorative or descriptor  that does not make it a profanity      It should definately say something about Kyle Vanderweilen and all his bitchin Is there any particular evidence of women reclaiming the word bitch in the 90s Can anyone point to articles on this etc The song is definitely interesting and belongs here but doesnt actually reclaim the word bitch any more than it reclaims the word sinner  Also I dont really understand the last paragraph and it sucks  I was going to try and clear it up but I realized I dont know what it means Can someone point to a source that lays out the argument about bitches fertility and patriarchy more clearly   We dont need articles at all as I there are definitely enough examples even outside of the 90s Missy Elliot cleary and repeatedly reclaims the word for instance Shes a Bitch    References are fine  just the name Missy Elliot got me to find a quote of a rolling stone review that mentioned reclaiming the word In fact if some one knows more about her it might be interesting to add a section on her work and on how it relates to womenslurs more generally within hiphop    How relevant is this reclamation It seems to me poison for a woman to use an epithet which still strongly connotes despised traits I dont see how using a word connoting querolous spiteful and malicious can be empowering But I dont know lifes a bitch    It stems from a reaction to the prevalence of tagging any woman who doesnt adhere to a certain standard of femininity as a bitch To use a literary example in the novel The Handmaids Tale the narrator related the feeling that whenever she outsmarted a man she could almost hear him calling her a bitch in his mind even her own husband     That literary reaction you recited is jealousy men have names for other men who outsmart them too but not having a word like bitch for them they have to resort to a greater variety of pejoritive epithets Though you havent been specific I think that standard of femininity you referred to is a pretext for subordination which both sexes often strive to impose on the other but men have traditionally had more power Because it is such a popular epithet in slang the connotations of bitch are diffuse though still commonly pernicious I think bitch in itself is not chiefly a denunciation to punish women who do not conform to that standard but rather a contemptuous word often used for it  However I still dont see the point of reclamati,0.20009702,0.050744623,non-toxic
  Im not convinced that he was blind Where is this documented Its possible that he was just what wed call Legally blind ie didnt have great vision and that the name Blind Blake is an exaggerated moniker Although I have no proof Ive got a feeling that him being legally blind is more likely than totally blind Of course Ive got no evidence to back that thing up,0.11223003,0.009463178,non-toxic
   Ref SS Ponzi Scheme   Hi Padillah  It is not my opinion that I am trying to impose here although it may appear to be so I am just highlighting the fact that it remains controversial whether it is or isnt a Ponzi Scheme even if a legal one so you cannot state as a fact that it is not a Ponzi Scheme I saw the reference and the perpetrator itself cannot be treated as a reliable source In fact claiming it is not a Ponzi Scheme seems to be an opinion in itself My point is that a claim should not be made either way and the edit in question just accomplishes that   Thank you  Virat,0.06263174,0.011146127,non-toxic
 Draculas Grandmother     Draculas grandmother was a Bulgarian princess the sister of Ivan Sratzimir The links with the lands across the Danube remain largely unexamined I would appreciate any serious contributions  Kaloyan,0.049584184,0.008867673,non-toxic
I WILL BURN YOU TO HELL IF YOU REVOKE MY TALK PAGE ACCESS,0.9248995,0.7809977,toxic and contains threats
  There are now four references including Britannica giving the correct date which is getting silly You complain in your edit summary that you cant find them so Ive added quotes to two to help you out After that youre on your own WPSOURCEACCESS has more on this Im happy to concede that Britannica alone mentions the date you offer but without explaining the context so thats one of the sources Ive expanded with a quote specifically mentioning 23 August   Russian Wikipedia has 23 августа силы 14го танкового корпуса армии Паулюса вышли к Волге севернее Сталинграда  August 23 forces of the 14th Tank Corps Army of Paulus reached the Volga north of Stalingrad cited from the war diary of ColonelGeneral Franz Haider     ,0.1991664,0.01187109,non-toxic
  That is ridiculous Unless theres a good and nondisingenuous response I would absolutely agree with you blocking indef outright Falsifying sources should simply never be tolerated   ,0.3972142,0.022681303,non-toxic
How dare you vandalize that page about the HMS Beagle Dont vandalize again demon,0.5721988,0.064969026,non-toxic
No he is an arrogant self serving immature idiot Get it right,0.8778702,0.011430934,toxic
Thanks for the comment about Wikidefenderness I like that one I usually wikiling Wikidefender I agree that at first he was somewhat innocent but now have my doubts as he is being really agressive about the whole matter,0.11140333,0.009903334,non-toxic
It might not have been your intention but your recent edit removed content from  Please be careful not to remove content from Wikipedia without a valid reason which you should specify in the edit summary or on the articles talk page Take a look at our welcome page to learn more about contributing to this encyclopedia Thank you  A link to the edit I have reverted can be found here link If you believe this edit should not have been reverted please contact me  Suggestions,0.027324399,0.009256045,non-toxic
Agree but thats not the issue The queston is in everyday English does first amendent refer primarily to the US Constitution or is it ambiguous My belief remains that even fifth amendment is ambiguous and first amendment even more so      ,0.038048524,0.0077802283,non-toxic
   Main towns that are not so main   I know that you love to write a one sentence article But if you want to do that please at least do it properly Stop saying X is a main town in Y Z What is so main about obscure towns   ,0.103928015,0.00780612,non-toxic
   Halliday   Good to see another contributor to his article If SFL is your thing you might consider joining the WikipediaWikiProjectLinguisticsSFLSFL taskforce Thanks   ,0.011686437,0.0084793,non-toxic
   That Stephen Barrett is not Board Certified is not a viewpoint It is a fact a well documented one at that I dont see how WPPROMINENCE applies    ,0.039935954,0.0068416605,non-toxic
Could you do a precis of the material instead of just downloading a whole lot of stuff from somewhere else on the internet I am only one editor here but I do feel that the material you have provided could be cut down to fit the format of this article More info could be provided in a seperate wikipedia article if necessary,0.034277402,0.007365964,non-toxic
   Cloud feedback   Why is cloud feedback only under the positive feedbacks Just about any paper states that it can be both That the IPCC states that it is more likely a positive than a negative feedback doesnt change that   ,0.027442247,0.0076637166,non-toxic
Avg plenty of Greeks love the King Stop acting like all Greeks hate him You just parrot what the government tells us via their media We Greeks asked George I to be our King We supported them They reclaimed much of our lands We voted to keep them numerous times In the 1930s by 97 vote  Also he tried to overthrow the dictators Read a book The Greek government is the biggest liars The US didnt want us to have our King and our claim to ConstantinopleAsia Minor He is a direct descendant of five Greek imperial Byzantine dynasties Monomachos Comnenos Laskaris Angelos and Paleologos,0.34328604,0.023371955,non-toxic
 Second issue   Im thinking we need a taxonomy section there are things that arent really as clear as they maybe could be Why iswhat specific findings about the fossils places R narmadensis in the subfamily Carnotaurinae Why princely lizard of the Narmada is that significant as to the staturebehaviorpredatorial prowess of R narmadensis If there is anything more precise on its taxonomy such as that it would be great to add,0.038991302,0.008582866,non-toxic
    Another priceless gem from yourself demonstrating your general cluelessness The fuse rating and therefore the plug rating in the case of a nonrewireable plug is determined by the cable attached not the appliance it will be used with Where on earth did you dig that nonsense up from There are plenty of good examples around but medium to large switch mode power supplies are often supplied with nominally 3 Amp cable in a moulded on plug many with an IEC 60320 C7 type plug rated by that standard at 25 Amps According to you the plug should therefore be fitted with a 3 Amp fuse determined by the cable If you did so you would never get any but the smallest power supplies running You have to fit a 5 Amp fuse because the very large 40 Amp momentary inrush current lasts long enough that it will blow a 3 Amp fuse The cable and plug can retain their original ratings because the inrush current will not harm them The rating of the fuse is determined by much much more than the cable size alone Indeed the type of power supply that is built into a plug usually has no fuse at all   1717,0.3972142,0.010731863,non-toxic
This is just bizarre Ani Medjools abuse of wikipedia rules gets rewarded and then he awards you a barnstar  WTF  Anyhow a new person adept at ridicule has joined in the conversation at falafel  Sigh    ,0.51980776,0.016292779,non-toxic
  Firstly still making undiffable edits and refusing to use edit summaries is becoming a behavioural issue that will need to be escalated if it doesnt stop Gun I really dont understand why you find it so hard to follow the basic standards of behaviour required to edit in a collaborative environment  Secondly announcing changes on someones talk page doesnt really count as discussing them collaboratively rather it means you discussed it with me  Furthermore I told you to go to the NPOV noticeboard to raise the State University vs University issue if you wanted to discuss the issue which you a failed to do b you removed the disputed tag from the article without a result as I suggested waiting until later c you made yet another diff which contained a large number of other unknown unknowable and undisucssed changes to the article    ,0.24282593,0.04132889,non-toxic
  Name in the introductory paragraph  Ive always been told that using Dr  PhD in the same name was incorrect as the PhD automatically conferred the status of doctor   However Im not sure what to do in this case  Since he is so wellknown as Dr Martin Luther King Jr the normal approach of dropping Dr and keeping PhD doesnt seem to be the best answer even though its the one most style guides seem to endorse  Would someone more intimately familliar with the article like to take a swing at changing it or suggesting an alternative   ,0.038048524,0.008453408,non-toxic
 Mrpainkiller Neurophyte and JeanPhilippe   After a complaint at intervention against vandalism I protected the article VampireFreakscom  It was either that or block all of you for disruption and personal attacks  I will unprotect the article in the morning  In the meantime please consider the following  Reverting another users talk page is pretty rude  There is a policy conflict between the user talk page policy which says users can blank or archive warnings although archiving is preferred by the community and the vandalism policy which says that removing warnings given to you is vandalism  I dont agree with the vandalism point of view and I havent seen a lot of support for it lately except among people who are fighting amongst themselves for other reasons  If someone deletes a warning theyve obviously seen it  If you are concerned about someones edits use a verbose edit summary so that even if the warning is removed the edit summary will be visible  I understand there is a view among two of you that Mrpainkiller7s edits are detrimental to the article  There are lots of right ways to deal with this including editing by consensus Request for comment on the article or the user Mediation and third opinion  Im not going to judge the content but fighting wherever it occurs is the wrong way to deal with the problem  Personal attacks are not to be tolerated  Please deal with the content of edits not character   Im leaving this message with each of you  If you keep fighting over talk pages I suppose I or another admin will eventually figure its time to block someone  Unless you are positive that you are 100 right and the other guy is 100 wrong you should probably try and work this out peacefully in case the admins dont see things your way,0.24603334,0.09009721,non-toxic
 hrthrtdghrsdtghtrsdhtrhdgthjrtgh   fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffhngviudfhgoiuerhgukfhkjgeruighervyfdohgobvijgfjgojfdhgjofhglkfhboerhgbdhoifdtyklerbhlkjhbdjgbojtgofgjrfjhlrkhilebotrjbh9jtrohibjrtlhujtyjunmoytijoryjhigfjhgfjnifgjgfhkljtgilhjfdojgfdojgfkjngfdlkjgnklfgikfvihgifbfhbgkufbdsukfgglkdhvureuhgiurhgh4irtgyrehgui4t7iryggoifhgo54oerygtjeiygut8gopfe8gig89fjhg9r8tyr8hygb7hruegfigust8g0r0retugrijtrir6tihviurhgnviurwtkcnguiergvknfgioerpjgklfupgrojgoirutkdhglrehgljkgyuorihfgiurwyhoug6y3oi4hg98w6u jtgnkjryt9jgoidug059jgiufd7teurjg98etujoijfgiosdug 0945ojtg0o8reuyjurfi ug945uj ygoip5uj5tgeoiu495ypw8y5urtg9ui8hui9g85w4mftmuv89tny0uvg8ytihguihfdkjvhu4krngkfdjs hgkjfghoeruygrhy goh tgoiugkiughgvhghghghhgghhghghghghghghghhhhhgtherkgheefjgsefdghh,0.36867723,0.06755528,non-toxic
 black mamba   Itis ponious snake of the word and but it not kills many people but king cobra kills many people in India,0.4269174,0.34839883,non-toxic
Looks like this was an old issue so I took the liberty of removing it I dont see any difference between the nonspaced version and the spaced version now The spaced version just makes the intro look very strange,0.04067813,0.0086087575,non-toxic
I just revamped WPFART I thought a little housekeeping would give it more street cred,0.11450345,0.010239923,non-toxic
Does JP Harris have anything to say about the Ancre,0.032863233,0.0073918556,non-toxic
 Dont feed the troll   Responding with taunting is exactly the wrong way to respond  Dont feed the troll  Remove the post without comment or dont do anything at all,0.39842087,0.011120236,non-toxic
  Please accept my apologies  I interpreted your statement Find a quote yourself or move it I dont care to mean that you thought the source could be removed instead of finding a quote  My mistake   ,0.11347008,0.009929225,non-toxic
While I tend to agree with all of this and am as slightly annoyed as anyone that we appear to have been blamed even though our article was accurate and respectful at all times and Mr Roth was treated with dignity and respect at all times its always in my nature to think about how we might do better in the future,0.031449065,0.0065827454,non-toxic
I appreciate you asking RoyBoy  My response may seem a lot less appreciative  It violates WPV  In a word it is tendentious just like the one thats been forced into the abortion article  It is still a POV pushing unsourced compromise with a small group and its meat puppets  Even the medical definition is abbreviated and distorted as the result of the context suggesting death is part of the medically accepted definition of abortion  Here’s yet another source to add to the ignored source list  The ‘’Oxford Thesaurus’’  In all the entries that contain abortion death including its variants is not listed  The main entries include miscarriage monster prevention termination and veto  I think the only potential solution for this now is arbitration,0.1883923,0.013372798,non-toxic
  I just reread the sectionI have no idea why the section is labeled Views of the Faithful  The section has very little to do with Mormon viewpoints and is a hodgepodge of critiques mixed with minor Mormon viewpoints  It definitely needs work  However I still will like for your specific ideas so that they could be incorporated GMK   ,0.049336795,0.00866054,non-toxic
Vandalism  Hello Barbara   It appears you have a long history of vandalism and after another incident I am afraid I have no choice but to request a permanent ban from administrators I wish you good luck for the future,0.2553839,0.03649433,non-toxic
also fwiw I nominated polyamorous people for deleting take a look and weigh in if you like,0.2854733,0.039256934,non-toxic
Since you have no further defence of your unsubstantiated claims of unreliability or to your oversight of precise statements in the provided citations that Israel indeed broke the ceasefire thus rendering your claim of editorialising refuted I will post a WP3O,0.18364124,0.0104988385,non-toxic
 Hands off my noobs P   Its not that Im particularly concerned about the loss of  but did you really need to step in and hardblock there  I saw the test edits I saw the username that while not violating any particular part of policy managed to be an astoundingly bad choice of username anyway I responded to these issues with the warning I felt was appropriate feeling that the user could have a second chance under a less moronic username  Yes I am more patient with newbies who screw up than you are We can each have our own approach to adminship But I dont unblock and warn noobs youve just hardblocked so how about you dont hardblock noobs Ive just warned  And if this was just an oversight thats fine Again it is unlikely that Wikipedia will suffer from the loss of this user,0.43230394,0.035113025,non-toxic
EdJohnston you are wrong I did not file the report BenHen1997 did You also did not block the other person but only one of the several IPs they were using,0.18174082,0.011172019,non-toxic
WHAT THE HELL    Justin,0.5716857,0.013372798,non-toxic
  To the individual who is so insistent to add all the future destinations take a look at WPNOTCRYSTAL While you may have reference sources to the information posted its just PURE SPECULATION and cannot be verified Nothing is firmed except London   ,0.15213956,0.008466354,non-toxic
WPSOAPBOX WPFORUM etc Please engage in your conspiratorial fantasies elsewhere,0.30854854,0.024753258,non-toxic
The specific page linked to is just junk in regards to our policies on sources  check it for yourself,0.4575469,0.011612174,non-toxic
on February 21 2015,0.011686437,0.008181547,non-toxic
The rapcore article cites 15 sources which back up all information stated including the basics of the genre The only person who is evading anything is Ridernyc who avoids any instance in which he would be forced to admit that he is wrong   ,0.10089093,0.009178371,non-toxic
just a community post isnt DB2FSS a First trimester screening a prenatal test aimed to detect diseases or conditions in a fetus or embryo,0.025203144,0.006641001,non-toxic
Buffoon Synonyms    bozo buffo clown comedian comic fool harlequin humorist idiot jerk jester joker merryandrew mime mimic mummer playboy prankster ridicule stooge wag wit zany,0.45703048,0.0091524795,non-toxic
     Confusion upon Globus   Shouldnt we mention that professor posses a huge penis And Im not joking It doesnt seem very apropriate given that it is a children series and thus I find it amusing and strange maybe its not important bit what about the once apon a time section I find it similar To be clear what am I talking about here is a picture httpi2photobucketcomalbumsy15odinchoyfserievie06gif Globus is the man on the right side I mean this seriously    ,0.45761138,0.015602129,non-toxic
Eek but shes cute in an earthy kind of way Cant sing for shit though Thanks for giving me an unhappy memory,0.6491204,0.010084574,non-toxic
